# Perfil del factor de seguridad q(ψ_N)
# N_rho =,200
psiN,q(psiN)
0.010000,0.467162
0.014925,0.465381
0.019849,0.464364
0.024774,0.464095
0.029698,0.463522
0.034623,0.462882
0.039548,0.462317
0.044472,0.461973
0.049397,0.461556
0.054322,0.461063
0.059246,0.460592
0.064171,0.460167
0.069095,0.459853
0.074020,0.459508
0.078945,0.459130
0.083869,0.458752
0.088794,0.458431
0.093719,0.458161
0.098643,0.457903
0.103568,0.457649
0.108492,0.457380
0.113417,0.457132
0.118342,0.456904
0.123266,0.456710
0.128191,0.456522
0.133116,0.456361
0.138040,0.456219
0.142965,0.456069
0.147889,0.455934
0.152814,0.455823
0.157739,0.455739
0.162663,0.455662
0.167588,0.455614
0.172513,0.455588
0.177437,0.455595
0.182362,0.455599
0.187286,0.455623
0.192211,0.455668
0.197136,0.455725
0.202060,0.455803
0.206985,0.455896
0.211910,0.456009
0.216834,0.456151
0.221759,0.456317
0.226683,0.456498
0.231608,0.456687
0.236533,0.456893
0.241457,0.457116
0.246382,0.457360
0.251307,0.457630
0.256231,0.457923
0.261156,0.458236
0.266080,0.458579
0.271005,0.458948
0.275930,0.459329
0.280854,0.459726
0.285779,0.460148
0.290704,0.460590
0.295628,0.461058
0.300553,0.461550
0.305477,0.462072
0.310402,0.462620
0.315327,0.463190
0.320251,0.463786
0.325176,0.464407
0.330101,0.465045
0.335025,0.465706
0.339950,0.466392
0.344874,0.467105
0.349799,0.467844
0.354724,0.468611
0.359648,0.469404
0.364573,0.470222
0.369497,0.471069
0.374422,0.471943
0.379347,0.472849
0.384271,0.473781
0.389196,0.474742
0.394121,0.475732
0.399045,0.476752
0.403970,0.477806
0.408894,0.478894
0.413819,0.480009
0.418744,0.481155
0.423668,0.482337
0.428593,0.483552
0.433518,0.484800
0.438442,0.486084
0.443367,0.487401
0.448291,0.488754
0.453216,0.490142
0.458141,0.491567
0.463065,0.493028
0.467990,0.494527
0.472915,0.496065
0.477839,0.497640
0.482764,0.499255
0.487688,0.500910
0.492613,0.502606
0.497538,0.504345
0.502462,0.506126
0.507387,0.507949
0.512312,0.509816
0.517236,0.511727
0.522161,0.513684
0.527085,0.515686
0.532010,0.517733
0.536935,0.519829
0.541859,0.521974
0.546784,0.524168
0.551709,0.526412
0.556633,0.528710
0.561558,0.531063
0.566482,0.533469
0.571407,0.535929
0.576332,0.538447
0.581256,0.541022
0.586181,0.543652
0.591106,0.546341
0.596030,0.549089
0.600955,0.551897
0.605879,0.554767
0.610804,0.557702
0.615729,0.560711
0.620653,0.563788
0.625578,0.566936
0.630503,0.570150
0.635427,0.573439
0.640352,0.576799
0.645276,0.580229
0.650201,0.583736
0.655126,0.587316
0.660050,0.590969
0.664975,0.594709
0.669899,0.598549
0.674824,0.602483
0.679749,0.606501
0.684673,0.610604
0.689598,0.614800
0.694523,0.619092
0.699447,0.623469
0.704372,0.627946
0.709296,0.632513
0.714221,0.637179
0.719146,0.641951
0.724070,0.646871
0.728995,0.651906
0.733920,0.657050
0.738844,0.662310
0.743769,0.667687
0.748693,0.673192
0.753618,0.678830
0.758543,0.684592
0.763467,0.690485
0.768392,0.696517
0.773317,0.702734
0.778241,0.709130
0.783166,0.715664
0.788090,0.722354
0.793015,0.729202
0.797940,0.736224
0.802864,0.743419
0.807789,0.750807
0.812714,0.758374
0.817638,0.766175
0.822563,0.774238
0.827487,0.782499
0.832412,0.790961
0.837337,0.799644
0.842261,0.808589
0.847186,0.817780
0.852111,0.827203
0.857035,0.836956
0.861960,0.847040
0.866884,0.857451
0.871809,0.868151
0.876734,0.879215
0.881658,0.890616
0.886583,0.902414
0.891508,0.914635
0.896432,0.927315
0.901357,0.940493
0.906281,0.954191
0.911206,0.968456
0.916131,0.983306
0.921055,0.998760
0.925980,1.015033
0.930905,1.032110
0.935829,1.050064
0.940754,1.069048
0.945678,1.089146
0.950603,1.110813
0.955528,1.134106
0.960452,1.159128
0.965377,1.186576
0.970302,1.217382
0.975226,1.252456
0.980151,1.292748
0.985075,1.342725
0.990000,1.406798
